tract,cbsa,cbsaname,cbsapop,cbsasamp1,cbsasamp2,cbsasamp3,nwhite,nblack,nhisp,nasian,povyes,povno,edlow,edhs,edsome,edba,owner,renter,twoparent,singparent,nokids,age0017,age1859,age60up,race_pop,pr_white,pr_black,pr_hisp,pr_asian,pov_pop,pr_pov,singpar_pop,pr_singpar,age_pop,pr_adult_nohs,hsplus
6013362000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1490,372,411,378,84,2602,106,262,556,1151,921,244,242,79,747,504,1593,670,2651,0.562052056,0.140324406,0.155035836,0.142587703,2686,0.031273269,1068,0.073970037,2263,0.046840477,1969
6001405800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,244,828,729,2131,1085,2639,890,637,501,312,476,747,282,215,721,1024,2406,535,3932,0.062054934,0.210579858,0.185401831,0.541963377,3724,0.291353383,1218,0.176518883,2941,0.302618157,1450
6013347000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,4809,109,407,632,88,5805,80,273,1017,2868,2018,286,678,120,1495,1376,3178,1617,5957,0.807285546,0.018297801,0.068322981,0.106093671,5893,0.014932971,2293,0.052333188,4795,0.016684046,4158
6081601605,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,597,193,596,4687,255,5602,370,887,1472,1674,1287,402,464,135,1112,1113,3588,1488,6073,0.098303968,0.03178001,0.098139305,0.771776717,5857,0.043537647,1711,0.078901227,5076,0.072892041,4033
6001451601,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3467,102,636,297,171,4019,36,622,1062,1259,1235,522,381,140,1148,1089,2746,782,4502,0.770102177,0.022656597,0.141270546,0.06597068,4190,0.040811456,1669,0.083882564,3528,0.010204082,2943
6001440334,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,537,334,657,2303,250,3782,341,758,792,776,847,198,455,105,531,871,2259,886,3831,0.140172279,0.087183503,0.171495693,0.601148525,4032,0.062003968,1091,0.09624198,3145,0.108426073,2326
6075015900,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1578,627,354,1660,773,3361,355,375,679,1681,556,1729,153,119,1861,369,2896,1085,4219,0.37402228,0.148613416,0.083906139,0.393458165,4134,0.18698597,2133,0.055789967,3981,0.089173574,2735
6001420300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2005,245,422,1716,343,4241,148,395,580,2282,1037,950,332,276,1453,987,2737,847,4388,0.456927985,0.055834093,0.096171376,0.391066545,4584,0.07482548,2061,0.133915575,3584,0.041294643,3257
6013355115,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1453,493,484,1817,325,2691,132,217,605,858,476,1312,395,157,626,1342,2849,252,4247,0.342123852,0.11608194,0.113962797,0.42783141,3016,0.107758621,1178,0.13327674,3101,0.042566914,1680
6013323000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3258,80,534,335,125,4125,189,621,713,1413,1299,385,527,208,896,1051,2515,786,4207,0.77442358,0.019015926,0.126931305,0.079629189,4250,0.029411765,1631,0.127529123,3301,0.057255377,2747
6081610303,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3432,126,463,2943,198,6979,73,307,1004,3743,1907,1032,1008,146,1727,1863,4572,901,6964,0.492820218,0.01809305,0.066484779,0.422601953,7177,0.027588129,2881,0.050676848,5473,0.013338206,5054
6013355109,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2575,1122,1515,968,236,5787,422,799,1412,1307,1674,341,521,196,1320,1668,3717,1031,6180,0.416666667,0.181553398,0.245145631,0.156634304,6023,0.039183131,2037,0.096219931,4748,0.088879528,3518
6075010500,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1655,54,155,780,144,2285,22,166,206,1771,384,1298,59,0,1463,172,1577,936,2644,0.625945537,0.020423601,0.058623298,0.295007564,2429,0.059283656,1522,0,2513,0.008754477,2143
6001440333,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,276,172,224,2059,207,2514,118,361,453,742,650,149,202,111,459,584,1795,460,2731,0.101061882,0.062980593,0.082021238,0.753936287,2721,0.076074972,772,0.143782383,2255,0.05232816,1556
6081609900,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2300,13,395,162,52,2901,145,259,769,932,955,118,381,75,645,712,1545,687,2870,0.801393728,0.004529617,0.137630662,0.056445993,2953,0.017609211,1101,0.068119891,2232,0.064964158,1960
