"","lon","lat"
"352",-83.2260705,42.6669058
"353",-83.2901497,42.2746534
"354",-82.8816561,42.5903708
"355",-86.3085203,42.1889255
"356",-86.4541894,42.1167065
"357",-83.3912516,42.4959795
"358",-122.89031,45.546358
"359",-85.400432,44.2512579
"360",-83.2341028,42.6875323
"361",-83.4876021,42.2986888
"362",-82.954778,42.6027088
"363",-83.1763145,42.3222599
"364",-83.275873,42.4370875
"365",-83.2996772,42.0992022
"366",-83.1785361,42.2505943
"367",-82.9412069,42.4853388
"368",-83.2218731,42.4733688
"369",-83.0887367,42.5946612
"370",-83.0335384,42.6261446
"371",-83.0463127,42.3800828
"372",-85.6893971,43.0276013
"373",-85.5582111,42.8788644
"374",-83.3273424,42.2418388
"375",-83.1999351,42.6792969
"376",-83.3773957,42.4737012
"377",-83.4754913,42.48059
"378",-83.1373063,42.2571306
"379",-83.482879,42.267207
"380",-83.1114649,42.2884309
"381",-83.171407,42.1636241
"382",-83.5363268,42.5247555
"383",-82.953689,42.51931
"384",-83.0457538,42.331427
"385",-85.5553087,42.2403653
"386",-83.156229,42.2918
"387",-82.8293423,42.5835951
"388",-85.7630885,42.9097484
"389",-86.2575371,43.205506
"390",-85.5515933,42.2355515
"391",-85.5248434,42.8846633
"392",-83.8888647,43.5944677
"393",-83.7388467,42.9734164
"394",-83.3273424,42.2418388
"395",-84.5901729,42.7751565
"396",-83.2304809,42.3818173
"397",-85.6680863,42.9633599
"398",-84.4080916,42.253366
"399",-85.5100498,43.8750174
"400",-84.1943005,42.6599393
"401",-84.6309785,41.9235629
"402",-85.5042218,43.8848423
"403",-85.6091761,44.7467769
"404",-71.4025482,41.8267718
"405",-84.183743,43.6006593
"406",-85.5561375,42.2132465
"407",-85.6416846,42.5369783
"408",-81.4393837,26.336516
"409",-85.8912058,42.2184114
"410",-86.2541768,41.8297694
"411",-83.8336662,42.3246063
"412",-84.0198818,42.1461174
"413",-82.9493652,42.539202
"414",-85.5697577,42.1110824
"415",-85.6759605,42.9527557
"416",-82.9514183,42.5152618
"417",-85.5617605,42.8384513
"418",-85.6430603,42.8851222
"419",-83.0514498,42.3285509
"420",-86.4451645,43.967284
"421",-83.1177831,42.5408366
"422",-71.4025482,41.8267718
"423",-83.19896,42.3274833
"424",-83.4754913,42.48059
"425",-84.5555347,42.732535
"426",-83.0562734,42.3543741
"427",-84.3475876,46.4977115
"428",-83.2434148,42.483768
"429",-86.1086228,41.9842123
"430",-84.6305101,41.9200472
"431",-83.0549534,42.3312352
"432",-83.1500751,42.5629879
"433",-86.354907,42.185147
"434",-84.9286937,41.7240125
"435",-83.2304809,42.3818173
"436",-82.4249142,42.9708634
"437",-83.115359,42.6241161
"438",-83.0511917,42.5743413
"439",-83.0146526,42.5144566
"440",-83.9581472,43.8533706
"441",-86.543211,41.964098
"442",-85.0005215,41.9403263
"443",-84.1766358,42.9978049
"444",-83.400211,42.324204
"445",-84.8358211,42.5636478
"446",-83.3136167,42.4871361
"447",-83.3677168,42.4989936
"448",-85.652198,42.935846
"449",-96.6418315,33.2181719
"450",-83.0457538,42.331427
"451",-83.0457538,42.331427
"452",-83.7430378,42.2808256
"453",-83.182279,42.4191069
"454",-83.3273424,42.2418388
"455",-83.4679603,42.4237496
"456",-83.0457538,42.331427
"457",-84.9636552,42.2715071
"458",-85.6617893,42.9116868
"459",-96.936371,30.1827159
"460",-85.6091761,44.7467769
"461",-82.8727778,42.6283333
"462",-83.1628124,42.3171522
"463",-84.5563326,42.7236654
"464",-83.885309,43.4518745
"465",-83.0464443,42.4632644
"466",-83.243757,42.475428
"467",-82.4996144,42.9046002
"468",-85.6430603,42.8851222
"469",-83.198023,42.198372
"470",-83.1102218,42.5442514
"471",-85.184248,42.318781
"472",-85.4713488,43.5821767
"473",-85.6759605,42.9527557
"474",-83.1934385,42.2754683
"475",-84.4274744,42.722257
"476",-86.2483921,43.2341813
"477",-83.1499322,42.6583661
"478",-83.0066933,42.393542
"479",-83.0066933,42.393542
"480",-83.096868,42.4055925
"481",-83.0066933,42.393542
"482",-83.0066933,42.393542
"483",-84.6620322,42.7265775
"484",-83.7649424,43.1797501
"485",-85.6680863,42.9633599
"486",-83.2474497,42.4809798
"487",-83.2474497,42.4809798
"488",-83.2474497,42.4809798
"489",-83.3863214,42.2814269
"490",-85.7703155,42.9096043
"491",-85.5443816,43.1352383
"492",-83.2218731,42.4733688
"493",-84.4898131,42.6747868
"494",-84.6535156,41.9351689
"495",-83.2474413,42.6585006
"496",-83.1923879,42.640532
"497",-85.724331,43.158119
"498",-83.6085427,42.9113819
"499",-85.724331,43.158119
"500",-83.0314976,42.5465473
"501",-82.7368616,42.6811436
"502",-82.4249142,42.9708634
"503",-83.182279,42.4191069
"504",-96.6418315,33.2181719
"505",-83.7165927,42.9861424
"506",-83.4980722,42.3962177
"507",-84.6788835,42.6911106
"508",-84.6788835,42.6911106
