"asciiname","pop2019","location"
"Willowick",13904,"https://www.google.com/maps/?q=41.634298,-81.467907"
"Monroe",13803,"https://www.google.com/maps/?q=39.446096,-84.370332"
"Sharonville",13740,"https://www.google.com/maps/?q=39.280686,-84.407456"
"Bexley",13717,"https://www.google.com/maps/?q=39.965358,-82.934479"
"Maumee",13691,"https://www.google.com/maps/?q=41.571113,-83.666159"
"Englewood",13457,"https://www.google.com/maps/?q=39.865067,-84.309463"
"Brecksville",13407,"https://www.google.com/maps/?q=41.307187,-81.619908"
"Lyndhurst",13377,"https://www.google.com/maps/?q=41.516931,-81.494818"
"Powell",13332,"https://www.google.com/maps/?q=40.167687,-83.081555"
"Warrensville Heights",13257,"https://www.google.com/maps/?q=41.439278,-81.521749"
"Trenton",13212,"https://www.google.com/maps/?q=39.479073,-84.462008"
"Fostoria",13186,"https://www.google.com/maps/?q=41.16025,-83.4124"
"Clayton",13166,"https://www.google.com/maps/?q=39.869541,-84.325438"
"Loveland",13158,"https://www.google.com/maps/?q=39.267517,-84.274553"
"Bellefontaine",13013,"https://www.google.com/maps/?q=40.362714,-83.762996"
"Marietta",12966,"https://www.google.com/maps/?q=39.423166,-81.446426"
"University Heights",12919,"https://www.google.com/maps/?q=41.494805,-81.534821"
"West Carrollton",12845,"https://www.google.com/maps/?q=39.669742,-84.25549"
"Dover",12705,"https://www.google.com/maps/?q=40.530333,-81.480254"
"Conneaut",12666,"https://www.google.com/maps/?q=41.927299,-80.568382"
"Wickliffe",12599,"https://www.google.com/maps/?q=41.606322,-81.468028"
"Macedonia",12541,"https://www.google.com/maps/?q=41.314919,-81.501633"
"Greenville",12515,"https://www.google.com/maps/?q=40.104708,-84.62145"
"Bedford",12446,"https://www.google.com/maps/?q=41.392123,-81.53468"
"Blue Ash",12432,"https://www.google.com/maps/?q=39.246536,-84.389324"
"Wilmington",12338,"https://www.google.com/maps/?q=39.439508,-83.817928"
"Harrison",12203,"https://www.google.com/maps/?q=39.25662,-84.789593"
"Amherst",12069,"https://www.google.com/maps/?q=41.405329,-82.231725"
"Norton",11939,"https://www.google.com/maps/?q=41.028931,-81.645535"
"Franklin",11774,"https://www.google.com/maps/?q=39.554951,-84.295728"
"Salem",11737,"https://www.google.com/maps/?q=40.904596,-80.848937"
"New Albany",11737,"https://www.google.com/maps/?q=40.080345,-82.787767"
"Bucyrus",11693,"https://www.google.com/maps/?q=40.805119,-82.971632"
"Seven Hills",11574,"https://www.google.com/maps/?q=41.380995,-81.675809"
"Beachwood",11566,"https://www.google.com/maps/?q=41.476264,-81.503232"
"Ravenna",11317,"https://www.google.com/maps/?q=41.161454,-81.242033"
"Springdale",11271,"https://www.google.com/maps/?q=39.290599,-84.47579"
"Coshocton",11267,"https://www.google.com/maps/?q=40.261752,-81.847292"
"Urbana",11047,"https://www.google.com/maps/?q=40.108777,-83.754771"
"Heath",10892,"https://www.google.com/maps/?q=40.020814,-82.442075"
"Montgomery",10804,"https://www.google.com/maps/?q=39.251232,-84.347994"
"Ironton",10801,"https://www.google.com/maps/?q=38.531325,-82.677052"
"Brooklyn",10636,"https://www.google.com/maps/?q=41.43474,-81.74918"
"Van Wert",10524,"https://www.google.com/maps/?q=40.865888,-84.588069"
"East Liverpool",10401,"https://www.google.com/maps/?q=40.633011,-80.567229"
"Vermilion",10376,"https://www.google.com/maps/?q=41.408005,-82.317254"
"Bedford Heights",10366,"https://www.google.com/maps/?q=41.403557,-81.50236"
"Cambridge",10307,"https://www.google.com/maps/?q=40.020964,-81.58539"
"Richmond Heights",10298,"https://www.google.com/maps/?q=41.560646,-81.5077"
"Reading",10290,"https://www.google.com/maps/?q=39.224101,-84.433255"
"London",10209,"https://www.google.com/maps/?q=39.893622,-83.437535"
"Celina",10174,"https://www.google.com/maps/?q=40.555331,-84.563268"
"Tipp City",10065,"https://www.google.com/maps/?q=39.964474,-84.18638"
"Struthers",10020,"https://www.google.com/maps/?q=41.051218,-80.592724"
"Galion",9948,"https://www.google.com/maps/?q=40.737692,-82.778987"
"Wapakoneta",9819,"https://www.google.com/maps/?q=40.567551,-84.191689"
"Willoughby Hills",9461,"https://www.google.com/maps/?q=41.584171,-81.432976"
"Louisville",9356,"https://www.google.com/maps/?q=40.837036,-81.264274"
"North College Hill",9292,"https://www.google.com/maps/?q=39.217148,-84.55199"
"Madeira",9262,"https://www.google.com/maps/?q=39.185105,-84.373106"
"Girard",9177,"https://www.google.com/maps/?q=41.168098,-80.696088"
"Sheffield Lake",8932,"https://www.google.com/maps/?q=41.488388,-82.097651"
"Shelby",8922,"https://www.google.com/maps/?q=40.885138,-82.658308"
"Olmsted Falls",8914,"https://www.google.com/maps/?q=41.365665,-81.904272"
"Oakwood",8897,"https://www.google.com/maps/?q=39.720216,-84.173325"
"Grandview Heights",8711,"https://www.google.com/maps/?q=39.979299,-83.040111"
"Wyoming",8586,"https://www.google.com/maps/?q=39.22953,-84.481373"
"Orrville",8571,"https://www.google.com/maps/?q=40.848264,-81.776881"
"Highland Heights",8418,"https://www.google.com/maps/?q=41.551783,-81.469127"
"Bryan",8413,"https://www.google.com/maps/?q=41.471479,-84.548731"
"Oberlin",8259,"https://www.google.com/maps/?q=41.286106,-82.218757"
"Cheviot",8241,"https://www.google.com/maps/?q=39.157947,-84.613969"
"Napoleon",8238,"https://www.google.com/maps/?q=41.397969,-84.124984"
"Kenton",8199,"https://www.google.com/maps/?q=40.644541,-83.609951"
"Eaton",8160,"https://www.google.com/maps/?q=39.751077,-84.634475"
"Canal Winchester",8142,"https://www.google.com/maps/?q=39.839794,-82.81626"
"St. Marys",8140,"https://www.google.com/maps/?q=40.547558,-84.392957"
"Bellevue",7895,"https://www.google.com/maps/?q=41.274116,-82.839855"
